"","x","Mean","Sd","Min","Max","q05","q25","q50","q75","q95","output","time","source"
"CO1",1,0.00154279740996214,0.00167413698021379,-0.00823256226898977,0.00462375374489482,0.000272427208295049,0.00127950319541481,0.00166591674609004,0.00197690384847478,0.00327772714035924,"CO",NA,"baseline_nephrons"
"CO24",24,-0.235375878539464,0.00641489068491937,-0.24555960322426,-0.203712705424074,-0.242325067075284,-0.239327035095711,-0.235991386361241,-0.233064991004704,-0.227533833338766,"CO",NA,"baseline_nephrons"
"CO168",168,-0.0499494747805736,0.00908681402132238,-0.0632133142258638,0.000415380361951541,-0.0579575142383915,-0.0538178739923517,-0.0512230170310839,-0.0490825612411744,-0.0435048013655792,"CO",NA,"baseline_nephrons"
"CO720",720,-0.00345244896186565,0.0171395271893221,-0.114425164295513,0.0191554604954205,-0.00918546547059235,-0.00307431364692284,-0.00132447857216278,0.000261726443841524,0.00838122813005001,"CO",NA,"baseline_nephrons"
"mean_arterial_pressure_MAP1",1,-0.00428557273579817,0.00695660545380416,-0.0286521443642112,0.013703332165313,-0.0120787253071748,-0.00758928949773981,-0.00473242443333556,-0.00233984011057864,0.00978429366390801,"mean_arterial_pressure_MAP",NA,"baseline_nephrons"
"mean_arterial_pressure_MAP24",24,-0.346683285597412,0.0315648083343149,-0.469365092138989,-0.193410385587437,-0.370222918511701,-0.353172134068932,-0.346619038317938,-0.338499158920014,-0.330152747613415,"mean_arterial_pressure_MAP",NA,"baseline_nephrons"
"mean_arterial_pressure_MAP168",168,-0.554755582931886,0.0248913185568703,-0.600349338912128,-0.473021819779067,-0.582314165024223,-0.574216375585802,-0.560500274952089,-0.539883830130532,-0.514174566217137,"mean_arterial_pressure_MAP",NA,"baseline_nephrons"
"mean_arterial_pressure_MAP720",720,-0.61637867290437,0.0684042687198637,-0.898216633653472,-0.318408642669003,-0.647160249078946,-0.6396802096951,-0.626337212678985,-0.593375007425001,-0.562080355116824,"mean_arterial_pressure_MAP",NA,"baseline_nephrons"
"LV_mass1",1,2.19477978547387e-05,0.00102017092983195,-0.0044584397005525,0.00462143785860507,-0.00065093226494256,-0.000198380442613775,8.14225571887787e-05,0.000230481533302705,0.000855663157130257,"LV_mass",NA,"baseline_nephrons"
"LV_mass24",24,-0.0635124327109425,0.00818198840763268,-0.0765603165507126,-0.0173270759582088,-0.069168442327034,-0.066991433647617,-0.0640332404772241,-0.0626146059758424,-0.0549766357459955,"LV_mass",NA,"baseline_nephrons"
"LV_mass168",168,-0.447698835363907,0.0231914536989049,-0.482153458376142,-0.405038030944357,-0.480009593505184,-0.469478948783768,-0.44972451788001,-0.428202422965973,-0.408998453597368,"LV_mass",NA,"baseline_nephrons"
"LV_mass720",720,-0.777325970288729,0.0459966707312258,-0.859355624341888,-0.664898550818163,-0.852933552355888,-0.808181829273639,-0.775850329622838,-0.751085360758258,-0.703510855543091,"LV_mass",NA,"baseline_nephrons"
"EDV_h_wall1",1,-0.000425982980105339,0.0024298872069753,-0.0151064911780507,0.0015940285337164,-0.00252438110500802,-0.000351984692645564,7.41111227793016e-05,0.000420842828267277,0.0010860565676854,"EDV_h_wall",NA,"baseline_nephrons"
"EDV_h_wall24",24,0.116548620037228,0.0082990579120245,0.104977352552817,0.164309189964499,0.10724275025397,0.112190929612122,0.116791067990344,0.119228987963374,0.122514286794102,"EDV_h_wall",NA,"baseline_nephrons"
"EDV_h_wall168",168,-0.289452896805763,0.015389316500165,-0.353690897029935,-0.247631361320039,-0.308462371076754,-0.294280843856512,-0.291302544499677,-0.281182682675233,-0.272721878091244,"EDV_h_wall",NA,"baseline_nephrons"
"EDV_h_wall720",720,-0.614027473164897,0.0304501029538181,-0.706456930048256,-0.543183948392766,-0.655531378460272,-0.633401506168926,-0.612750189333086,-0.593569904930076,-0.56616597104198,"EDV_h_wall",NA,"baseline_nephrons"
"ejection_fraction1",1,0.00619034680056388,0.0197104048960567,-0.108069040013295,0.0341893489813233,-0.0108110319654254,0.00750919677960829,0.00920929928816117,0.0124528421803286,0.0156129191076257,"ejection_fraction",NA,"baseline_nephrons"
